"ScriptBlockId","FirstSeen","LastSeen","ExpectedParts","AvailableParts","Complete","Path"
"018a9215-941f-41fc-95c6-3cceee64c57b","16/09/2026 13:27:45","16/09/2026 13:27:45","119","119","True","C:\Users\Ifean\AppData\Local\Temp\tmpEXO_3aaxdwt2.xkf\tmpEXO_3aaxdwt2.xkf.psm1"
"05a3f6bd-82b1-492b-8014-0771ac92e63f","15/09/2026 11:55:29","15/09/2026 11:55:29","40","7","False","C:\Users\Ifean\Documents\WindowsPowerShell\Modules\MicrosoftTeams\7.9.0\custom\Merged_custom_PsExt.ps1"
"0b54fcc9-02b9-4b60-aaf2-2ac1cc02ae21","16/09/2026 12:11:32","16/09/2026 12:11:32","3","3","True",
"1325b5db-6540-44b6-a470-e5c6bd616ea1","21/09/2026 11:11:30","21/09/2026 11:11:30","1","1","True","C:\WINDOWS\TEMP\SDIAG_78d596f6-efa1-40f2-82c4-e282205f41f3\CL_Utility.ps1"
"1d5c20f3-9f12-4af9-b95f-4f0219ee39b5","15/09/2026 11:55:29","15/09/2026 11:55:29","149","149","True","C:\Users\Ifean\Documents\WindowsPowerShell\Modules\MicrosoftTeams\7.9.0\exports\ProxyCmdletDefinitionsWithHelp.ps1"
"2b0600e6-0cd6-4157-862b-77c9e93cb173","16/09/2026 13:23:56","16/09/2026 13:23:56","1","1","True",
"343a0af2-354f-4a25-b7a2-2d404504c127","16/09/2026 12:09:54","16/09/2026 12:09:54","1","1","True",
"3e4241db-dd7c-4906-aae6-0c0023c78821","16/09/2026 13:23:58","16/09/2026 13:23:58","2","2","True","C:\Users\Ifean\Documents\PowerShell\Modules\ExchangeOnlineManagement\3.10.1\ExchangeOnlineManagement.psd1"
"43d88295-3897-4ca9-9e34-b1582a597617","16/09/2026 13:23:59","16/09/2026 13:23:59","3","3","True",
"82ed5bd6-abf4-4eac-a616-c9fe1dc40f07","25/09/2026 11:08:27","25/09/2026 11:08:27","1","1","True","C:\WINDOWS\TEMP\SDIAG_3476ad21-66c7-4608-8218-adaba8693295\CL_Utility.ps1"
"85be21be-b9b0-48a3-a568-ebf5b5024fb2","16/09/2026 12:11:34","16/09/2026 12:11:34","5","5","True","C:\Users\Ifean\Documents\PowerShell\Modules\ExchangeOnlineManagement\3.10.1\netFramework\ExchangeOnlineManagement.psm1"
"8e6a3058-83d0-49d3-bac4-85f91ca27657","16/09/2026 13:24:01","16/09/2026 13:24:01","5","5","True","C:\Users\Ifean\Documents\PowerShell\Modules\ExchangeOnlineManagement\3.10.1\netFramework\ExchangeOnlineManagement.psm1"
"8f5b7f21-01c5-43bd-a5ab-676b448f808e","16/09/2026 12:11:31","16/09/2026 12:11:31","2","2","True","C:\Users\Ifean\Documents\PowerShell\Modules\ExchangeOnlineManagement\3.10.1\ExchangeOnlineManagement.psd1"
"f86d61f3-2a5b-4f6c-9c07-a01ab9abd429","16/09/2026 12:14:29","16/09/2026 12:14:29","55","55","True","C:\Users\Ifean\AppData\Local\Temp\tmpEXO_idqxrjbx.en4\tmpEXO_idqxrjbx.en4.psm1"
