"TimeCreated","RecordId","Id","ProviderName","LevelDisplayName","Message"
"30/12/2025 05:58:58","44411","1074","User32","Information","The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-PCML6D5) has initiated the power off of computer DESKTOP-PCML6D5 on behalf of user DESKTOP-PCML6D5\Ifean for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
"31/12/2025 17:53:51","44881","6006","EventLog","Information","The Event log service was stopped."
"31/12/2025 17:54:27","44890","6005","EventLog","Information","The Event log service was started."
"01/01/2026 03:10:00","45082","1074","User32","Information","The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-PCML6D5) has initiated the power off of computer DESKTOP-PCML6D5 on behalf of user DESKTOP-PCML6D5\Ifean for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
"09/01/2026 12:56:41","46481","41","Microsoft-Windows-Kernel-Power","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"09/01/2026 12:56:54","46460","6008","EventLog","Error","The previous system shutdown at 12:52:02 PM on ‎1/‎9/‎2026 was unexpected."
"09/01/2026 12:56:54","46462","6005","EventLog","Information","The Event log service was started."
"10/01/2026 23:06:03","46840","1074","User32","Information","The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-PCML6D5) has initiated the power off of computer DESKTOP-PCML6D5 on behalf of user DESKTOP-PCML6D5\Ifean for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
"16/01/2026 21:24:42","47636","6006","EventLog","Information","The Event log service was stopped."
"16/01/2026 21:25:14","47745","1074","User32","Information","The process C:\WINDOWS\system32\winlogon.exe (DESKTOP-PCML6D5) has initiated the shutdown of computer DESKTOP-PCML6D5 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found
 Reason Code: 0x500ff
 Shutdown Type: shutdown
 Comment: "
"16/01/2026 21:25:14","47647","6005","EventLog","Information","The Event log service was started."
"16/01/2026 21:25:16","47755","6006","EventLog","Information","The Event log service was stopped."
"16/01/2026 21:33:08","47795","6005","EventLog","Information","The Event log service was started."
